cluster,depth,startdate,type,sequence,seqdep,phase
6,16.6,2004-02-05,E,E6,E6,1
6,10.0,2004-02-07,E,E6,E6,2
6,25.7,2004-02-08,E,E6,E6,2
9,,2004-02-12,V,V9,V9,2
11,,2004-02-16,V,V11,V11,3
5,,2004-02-16,V,V5,V5,3
5,,2004-02-17,V,V5,V5,3
11,84.0,2004-02-20,E,E11,E11D,3
3,10.0,2004-02-21,E,E3,E3,0
10,42.0,2004-02-22,E,E10,E10,0
11,31.0,2004-02-23,E,E11,E11,0
9,0.0,2004-02-24,E,E9,E9,0
7,,2004-02-25,V,V7,V7,0
11,10.0,2004-02-26,E,E11,E11,0
2,10.0,2004-02-26,E,E2,E2,0
14,28.0,2004-03-02,E,E14,E14,1
14,,2004-03-03,V,V14,V14,1
8,,2004-03-05,V,V8,V8,1
11,7.0,2004-03-07,E,E11,E11,1
14,10.0,2004-03-08,E,E14,E14,2
11,18.4,2004-03-09,E,E11,E11,2
11,271.5,2004-03-12,E,E11,E11D,2
11,12.0,2004-03-14,E,E11,E11,2
11,,2004-03-15,V,V11,V11,2
3,289.8,2004-03-17,E,E3,E3D,3
9,24.5,2004-03-17,E,E9,E9,3
11,10.0,2004-03-18,E,E11,E11,3
11,,2004-03-19,V,V11,V11,3
13,8.0,2004-03-27,E,E13,E13,0
14,,2004-03-31,V,V14,V14,1
6,,2004-04-02,V,V6,V6,1
7,31.0,2004-04-03,E,E7,E7,1
11,8.0,2004-04-05,E,E11,E11,1
13,187.1,2004-04-05,E,E13,E13D,1
4,10.0,2004-04-08,E,E4,E4,2
11,228.4,2004-04-09,E,E11,E11D,2
6,20.0,2004-04-11,E,E6,E6,2
7,41.8,2004-04-11,E,E7,E7,2
1,,2004-04-12,V,V1,V1,2
11,,2004-04-12,V,V11,V11,2
11,143.5,2004-04-14,E,E11,E11D,3
7,51.3,2004-04-14,E,E7,E7,3
9,12.2,2004-04-14,E,E9,E9,3
11,10.0,2004-04-15,E,E11,E11,3
10,44.5,2004-04-16,E,E10,E10,3
11,10.0,2004-04-16,E,E11,E11,3
11,35.0,2004-04-22,E,E11,E11,0
11,10.0,2004-04-22,E,E11,E11,0
6,65.8,2004-04-23,E,E6,E6,0
11,8.0,2004-04-24,E,E11,E11,0
